ISTASYON_NO,AD,ADRES,operator,brand,LATITUDE,LONGITUDE,side
ŞRJ/7997,SUNFLOWER AVM 1,Aşık Veysel Mahallesi Süleyman Demirel Caddesi Esenyurt / İSTANBUL,360 ENERJİ ANONİM ŞİRKETİ,360° ENERJİ,41.0599362645018,28.6757232040452,Europe
ŞRJ/7999,SUNFLOWER AVM 2,Aşık Veysel Mahallesi Süleyman Demirel Caddesi Reşneli Niyazi Sokağı Esenyurt / İSTANBUL,360 ENERJİ ANONİM ŞİRKETİ,360° ENERJİ,41.0600622976835,28.6743828175152,Europe
ŞRJ/3733,ASTORŞARJ İSTANBUL SİLİVRİ VEGA  AVM ELEKTRİKLİ ARAÇ ŞARJ İSTASYONU,Alibey Mahallesi E-5 Üzeri Sokağı Silivri / İSTANBUL,ASTOR ENERJİ ANONİM ŞİRKETİ,ASTOR,41.072594583985,28.2639512173075,Europe
ŞRJ/8003,İgs İstanbul Giyim Sanayi Ticaret Anonim Şirketi 2,Cihangir Mahallesi E5 Yanyol Londra Asfaltı Caddesi  No:197 Avcılar / İSTANBUL,ALFAMET ENERJİ VE ŞARJ TEKNOLOJİLERİ ANONİM ŞİRKETİ,ADZE,40.9886508522373,28.7165378531168,Europe
ŞRJ/8023,LEOSRESİDENCEAC,Gayrettepe Mahallesi Fahri Gizden Sokağı  No:3 Beşiktaş / İSTANBUL,GOŞARJ ELECTRİCAL ENERJİ YATIRIM ANONİM ŞİRKETİ,DYNOPOWER,41.0654506659467,29.0034425605547,Asia
ŞRJ/8025,GSAAC001,Büyükşehir Mahallesi Beylikdüzü Caddesi  No:5A Beylikdüzü / İSTANBUL,GOŞARJ ELECTRİCAL ENERJİ YATIRIM ANONİM ŞİRKETİ,DYNOPOWER,41.0124912786179,28.6458748081238,Europe
ŞRJ/8047,GIOev - Özdilek İstanbul AVM,Esentepe Mahallesi Büyükdere Caddesi Şişli / İSTANBUL,GİOEV ŞARJ İSTASYONLARI İŞLETMELERİ ANONİM ŞİRKETİ,GIOEV,41.0708960333571,29.0150590812973,Asia
ŞRJ/8069,DUMANKAYA MODERN,Bahçeşehir 2. Kısım Mahallesi 50. Yıl Caddesi  No:8/B06 Esenyurt / İSTANBUL,MİTHRA POD ELEKTRİK VE ELEKTRONİK OTOMASYON SİSTEMLERİ İMALAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,MITHRA POD,41.082397356202,28.6663489172614,Europe
ŞRJ/8077,Nish İstanbul A Blok,Çobançeşme Mahallesi Vali Recep Yazıcıoğlu Sanayi Caddesi  No:A Blok Mekanik Panosu Bahçelievler / İSTANBUL,TUNÇMATİK ŞARJ TEKNOLOJİLERİ ANONİM ŞİRKETİ,tunçmatik,41.0024602197117,28.8219642705367,Europe
ŞRJ/8078,Nish İstanbul D Blok,Çobançeşme Mahallesi Sanayi Caddesi Kaynarca Sokağı  No:11 Bahçelievler / İSTANBUL,TUNÇMATİK ŞARJ TEKNOLOJİLERİ ANONİM ŞİRKETİ,tunçmatik,41.001350889764,28.8225632546448,Europe
ŞRJ/8108,EVSolt - BOUN Güney Otopark,Bebek Mahallesi  Boğaziçi Üniversitesi Güney Kampüs Otopark Beşiktaş / İSTANBUL,STL SOLAR ENERJİ ANONİM ŞİRKETİ,EVSolt,41.0850557435412,29.0465175772587,Asia
ŞRJ/8111,EVSolt - BOUN Kuzey Park,Rumeli Hisarı Mahallesi Nispetiye Caddesi  No:7  Boğaziçi Üniversitesi Kuzey Kampüs Kuzey Park Otopark Sarıyer / İSTANBUL,STL SOLAR ENERJİ ANONİM ŞİRKETİ,EVSolt,41.0890993868188,29.0501185433458,Asia
